direction,entry,entry_level,tp,sl,rr,regime,adx,atr,plus_di,minus_di,confidence,confidence_bucket,bos,fvg,liquidity_sweep,bos_strength,range,volume,fvg_size,signal_type,has_fvg,nearest_level,last_swing_low,last_swing_high,timestamp,confidence_threshold_used,entry_mode,candles_since_bos,ema_position,position_size,risk_amount,symbol,bars_alive,max_r,initial_risk,mfe_r,mae_r,max_r_reached,max_price_since_entry,min_price_since_entry,original_sl,scale_level,entry_idx,trailing_type,swing_trail_updates,signal_id,exit_time,exit_price,pnl,exit_reason,exit_type,last_structure_swing_price,last_structure_swing_idx
SHORT,8.994,1.0,,9.405059999999999,-1.0,TREND,32.0243,0.0953,18.3658,25.0375,3.5,half,BEARISH_BOS,False,,,0.11800000000000033,,,BOS,False,,,9.43,2023-06-30 13:00:00,2.5,zone,,BELOW,1.5143362704240564,0.4963994294450055,ATOMUSDT,21,0.0,0.4110599999999991,0.24084075317472003,1.019315914951592,0.24084075317472003,9.413,8.895,9.43,1,2210,structure,1,19,2023-07-01 10:00:00,9.405059999999999,-0.6224830673205113,stop_loss,trailing_stop,9.386,2218.0
SHORT,9.3674,1.0,,9.857,-1.0,TREND,30.606,0.0984,7.9826,50.6531,3.5,half,BEARISH_BOS,False,,,0.1999999999999993,,,BOS,False,,,9.857,2023-07-05 15:00:00,2.5,zone,,BELOW,1.0028469254372965,0.49099385469409973,ATOMUSDT,200,0.8300653594771246,0.48959999999999937,0.8852124183006561,1.0959967320261452,0.8852124183006561,9.904,8.934,9.857,0,2349,R,0,20,2023-07-13 23:00:00,9.857,-0.49099385469409973,stop_loss,SL,,
LONG,9.8213,1.0,,9.629,-1.0,TREND,35.5495,0.1051,26.8525,7.274,4.0,full,BULLISH_BOS,True,,,0.07200000000000095,,,BOS,True,,9.629,,2023-07-15 08:00:00,2.5,zone,,ABOVE,4.885388854206293,0.9770777708412586,ATOMUSDT,16,0.4092563702548052,0.19230000000000125,0.840873634945391,1.031201248049923,0.840873634945391,9.983,9.623,9.629,0,2582,R,0,21,2023-07-16 00:00:00,9.629,-0.9394602766638762,stop_loss,SL,,
SHORT,9.335,,,9.349939999999998,-0.1556249999999768,TREND,35.2635,0.0597,10.0478,39.7129,4.0,full,,True,,,0.049999999999998934,,,BOS,True,,,9.431,2023-07-22 18:00:00,2.5,momentum,8.0,BELOW,4.838415840373099,0.9676831680746197,ATOMUSDT,24,0.9375000000000335,0.09599999999999831,1.7708333333333823,0.4791666666666686,1.7708333333333823,9.381,9.165,9.431,0,2760,structure,2,22,2023-07-23 18:00:00,9.349939999999998,-0.07228593265516205,stop_loss,trailing_stop,9.338,2771.0
SHORT,9.258,,,9.349939999999998,-0.6813398547502524,TREND,35.2635,0.0597,10.0478,39.7129,4.0,full,,True,,,0.049999999999998934,,,BOS,True,,,9.431,2023-07-22 23:00:00,2.5,momentum,8.0,BELOW,4.838415840373099,0.9676831680746197,ATOMUSDT,19,0.0963391136801532,0.13494000000000028,0.31866014524973446,0.696605898918045,0.31866014524973446,9.352,9.215,9.431,1,2760,structure,1,22,2023-07-23 18:00:00,9.349939999999998,-0.444843952363899,stop_loss,trailing_stop,9.381,2762.0
SHORT,9.0733,1.0,,8.937539999999998,0.6632144601856409,TREND,39.3479,0.0827,9.7582,52.7634,5.0,full,BEARISH_BOS,True,,,0.375,,,BOS,True,,,9.278,2023-07-24 09:00:00,2.5,zone,,BELOW,4.702060914628361,0.9625118692244291,ATOMUSDT,57,1.2716170004885106,0.20470000000000077,1.418172936003904,0.0,1.418172936003904,9.0733,8.783,9.278,0,2799,structure,3,23,2023-07-26 18:00:00,8.937539999999998,0.638351789769952,stop_loss,trailing_stop,8.921,2852.0
SHORT,8.882,1.0,,8.937539999999998,-0.3525453852989661,TREND,39.3479,0.0827,9.7582,52.7634,5.0,full,BEARISH_BOS,True,,,0.375,,,BOS,True,,,9.278,2023-07-26 01:00:00,2.5,zone,,BELOW,4.702060914628361,0.9625118692244291,ATOMUSDT,17,0.4379840040624568,0.15753999999999913,0.6284118319157087,0.7172781515805521,0.6284118319157087,8.995,8.783,9.278,1,2799,structure,1,23,2023-07-26 18:00:00,8.937539999999998,-0.2611524631984536,stop_loss,trailing_stop,9.023,2832.0
SHORT,8.853,1.0,,8.916179999999999,-0.2393181818181775,TREND,35.1411,0.0559,8.4291,32.6948,5.0,full,BEARISH_BOS,True,,,0.11000000000000121,,,BOS,True,,,9.117,2023-07-31 19:00:00,2.5,zone,,BELOW,3.660166145795985,0.9662838624901441,ATOMUSDT,28,0.6098484848484806,0.2640000000000011,1.0530303030303003,0.49242424242424326,1.0530303030303003,8.983,8.575,9.117,0,2977,structure,1,24,2023-08-01 23:00:00,8.916179999999999,-0.2312492970913871,stop_loss,trailing_stop,8.905,2982.0
SHORT,8.731,1.0,,8.916179999999999,-1.0,TREND,35.1411,0.0559,8.4291,32.6948,5.0,full,BEARISH_BOS,True,,,0.11000000000000121,,,BOS,True,,,9.117,2023-08-01 02:00:00,2.5,zone,,BELOW,3.660166145795985,0.9662838624901441,ATOMUSDT,21,0.21060589696511453,0.185179999999999,0.5616157252403055,1.360838103466908,0.5616157252403055,8.983,8.627,9.117,1,2977,structure,1,24,2023-08-01 23:00:00,8.916179999999999,-0.6777895668784969,stop_loss,trailing_stop,8.905,2982.0
SHORT,8.5433,1.0,,8.45978,0.703622577927546,TREND,34.7676,0.0589,14.1818,33.0909,5.0,full,BEARISH_BOS,True,,,0.19200000000000017,,,BOS,True,,,8.662,2023-08-04 18:00:00,2.5,zone,,BELOW,4.785967369252226,0.9571934738504453,ATOMUSDT,23,1.350463352990738,0.11870000000000047,1.5526537489469219,0.0,1.5526537489469219,8.5433,8.359,8.662,0,3072,structure,2,25,2023-08-05 17:00:00,8.45978,0.3997239946799461,stop_loss,trailing_stop,8.448,3089.0
SHORT,8.421,1.0,,8.45978,-0.1609128630705423,TREND,34.7676,0.0589,14.1818,33.0909,5.0,full,BEARISH_BOS,True,,,0.19200000000000017,,,BOS,True,,,8.662,2023-08-04 20:00:00,2.5,zone,,BELOW,4.785967369252226,0.9571934738504453,ATOMUSDT,21,0.15767634854771798,0.24100000000000144,0.25726141078837766,0.35684647302904476,0.25726141078837766,8.507,8.359,8.662,1,3072,R,0,25,2023-08-05 17:00:00,8.45978,-0.18559981457960575,stop_loss,trailing_stop,,
LONG,8.571,1.0,,8.571,0.0,TREND,37.7428,0.047,31.459,9.1185,3.5,half,BULLISH_BOS,False,,,0.10699999999999932,,,BOS,False,,8.548,,2023-08-09 12:00:00,2.5,zone,,ABOVE,4.796673578257244,0.47966735782572434,ATOMUSDT,2,0.6382978723404417,0.0470000000000006,2.106382978723382,0.5531914893616908,2.106382978723382,8.67,8.545,8.524,0,3186,R,0,26,2023-08-09 14:00:00,8.571,0.0,stop_loss,trailing_stop,,
LONG,8.601,1.0,,8.571,-1.0,TREND,37.7428,0.047,31.459,9.1185,3.5,half,BULLISH_BOS,False,,,0.10699999999999932,,,BOS,False,,8.548,,2023-08-09 13:00:00,2.5,zone,,ABOVE,4.796673578257244,0.47966735782572434,ATOMUSDT,1,0.0,0.030000000000001137,1.1333333333332545,1.8666666666666272,1.1333333333332545,8.635,8.545,8.524,1,3186,R,0,26,2023-08-09 14:00:00,8.571,-0.14390020734772277,stop_loss,trailing_stop,,
SHORT,8.4154,1.0,,8.551,-1.0,TREND,31.2661,0.0437,9.4771,33.1699,3.5,half,,False,SWEEP_LOW,,0.07699999999999996,,,BOS,False,,,8.551,2023-08-10 06:00:00,2.5,momentum,9.0,BELOW,3.532063840626734,0.4789478567889857,ATOMUSDT,8,0.0,0.13560000000000016,0.0,1.1327433628318633,0.0,8.569,8.4154,8.551,0,3204,R,0,27,2023-08-10 14:00:00,8.551,-0.4789478567889857,stop_loss,SL,,
SHORT,8.45,,8.417,8.472,1.4999999999999596,RANGE,17.0534,0.022,33.1169,11.039,4.0,full,,False,SWEEP_HIGH,,0.05500000000000149,,,SWEEP,False,8.472,,,2023-08-13 20:00:00,2.5,,,,4.765531175050408,0.9531062350100815,ATOMUSDT,1,0.7727272727272397,0.02200000000000024,2.2272727272726796,0.36363636363640034,2.2272727272726796,8.458,8.401,8.472,0,3290,R,0,28,2023-08-13 21:00:00,8.417,0.15726252877666097,take_profit,TP,,
SHORT,6.866,,6.807,6.9054,-1.0,RANGE,17.1148,0.0394,25.4083,25.4083,4.0,full,BULLISH_BOS,False,SWEEP_HIGH,,0.06199999999999939,,,SWEEP,False,6.9054,,,2023-09-04 02:00:00,2.5,,,,4.77339430148924,0.9546788602978481,ATOMUSDT,1,0.12690355329948794,0.039400000000000546,0.15228426395937197,1.319796954314715,0.15228426395937197,6.918,6.86,6.9054,0,3800,R,0,29,2023-09-04 03:00:00,6.9054,-0.18807173547867867,stop_loss,SL,,
