direction,entry,tp,sl,rr,regime,adx,atr,plus_di,minus_di,confidence,bos,fvg,liquidity_sweep,bos_strength,range,volume,fvg_size,signal_type,has_fvg,nearest_level,last_swing_low,last_swing_high,timestamp,confidence_threshold_used,entry_mode,entry_type,candles_since_bos,ema_position,position_size,risk_amount,risk_percent,symbol,bars_alive,max_r,initial_risk,mfe_r,mae_r,max_r_reached,max_price_since_entry,min_price_since_entry,original_sl,exit_time,exit_price,pnl,exit_reason,exit_type,mtf_tf
LONG,2.4886,2.56285,2.4391,-1.0,RANGE,22.1898,0.0495,26.1723,29.2454,4.0,BEARISH_BOS,False,SWEEP_LOW,,0.16989999999999972,,,SWEEP,False,2.4438,,,2024-12-09 00:30:00,1,,,,,4.849035489914485,0.969807097982897,1.0,XRPUSDT,3,0.30505050505050224,0.0495000000000001,0.5979797979798027,1.1131313131313094,0.5979797979798027,2.5182,2.4335,2.4391,2024-12-09 03:00:00,2.4391,-0.24002725675076747,stop_loss,SL,15m
LONG,24.811,25.9306,24.0646,-1.0,RANGE,22.507,0.7464,14.7383,24.2894,5.0,BEARISH_BOS,False,SWEEP_LOW,,0.4499999999999993,,,SWEEP,False,24.1296,,,2024-12-09 12:30:00,1,,,,,1.9426740776857125,1.4500119315846183,1.5,LINKUSDT,4,1.33172561629153,0.7464000000000013,1.4509646302250758,1.4147909967845647,1.4509646302250758,25.894,23.755,24.0646,2024-12-09 16:00:00,24.0646,-1.4500119315846183,stop_loss,SL,15m
SHORT,97915.0,,97915.0,0.0,TREND,31.5667,1001.0571,14.1508,31.6658,3.5,BEARISH_BOS,False,,,2945.0,,,BOS,False,,,99816.0,2024-12-09 15:30:00,1,zone,inside_zone,,BELOW,0.0005085084803032152,0.9666746210564122,1.0,BTCUSDT,9,0.8495528669121515,1901.0,2.1183587585481325,0.2708574434508123,2.1183587585481325,98429.9,93888.0,99816.0,2024-12-10 00:00:00,97915.0,0.0,stop_loss,trailing_stop,15m
LONG,234.13,,228.28,-1.0,TREND,30.8405,2.8207,18.511,12.2816,3.5,BULLISH_BOS,False,,,3.6899999999999977,,,BOS,False,,228.28,,2024-12-12 17:00:00,1,zone,inside_zone,,ABOVE,0.16276487209240462,0.9521745017405661,1.0,SOLUSDT,2,0.0,5.849999999999994,0.12478632478632802,1.290598290598289,0.12478632478632802,234.86,226.58,228.28,2024-12-12 19:00:00,228.28,-0.9521745017405661,stop_loss,SL,
LONG,99310.9,100671.18565,98404.0429,1.500000000000016,RANGE,17.332,906.8571,18.2443,22.9687,3.0,,False,SWEEP_LOW,,954.0,,,SWEEP,False,98404.0429,,,2024-12-13 01:45:00,1,,,,,0.0005197361065614234,0.4713263783615802,0.5,BTCUSDT,10,1.2793636395414665,906.8570999999938,1.6387366874009324,0.1355230057745537,1.6387366874009324,100797.0,99188.0,98404.0429,2024-12-13 11:00:00,100671.18565,0.7069895675423779,take_profit,TP,15m
SHORT,6.633,,6.821,-0.9261083743842338,TREND,33.2504,0.128,10.1562,35.6585,3.5,BEARISH_BOS,False,,,0.1299999999999999,,,BOS,False,,,6.836,2024-12-13 06:30:00,1,zone,inside_zone,,BELOW,4.64360963903034,0.9426527567231604,1.0,FILUSDT,9,0.16748768472906286,0.2030000000000003,0.571428571428569,1.0985221674876824,0.571428571428569,6.856,6.517,6.836,2024-12-13 15:00:00,6.821,-0.8729986121377027,stop_loss,trailing_stop,15m
SHORT,7.839,,7.941,-0.28412256267409314,TREND,30.7459,0.1576,10.3808,25.5666,3.5,BEARISH_BOS,False,,,0.3080000000000007,,,BOS,False,,,8.198,2024-12-12 19:00:00,1,zone,inside_zone,,BELOW,2.6257736956076894,0.9426527567231604,1.0,AXSUSDT,25,0.41225626740947235,0.359,0.49025069637883056,0.46239554317548853,0.49025069637883056,8.005,7.663,8.198,2024-12-13 20:00:00,7.941,-0.2678289169519828,stop_loss,trailing_stop,
SHORT,224.03,,224.64,-0.1380090497737527,TREND,33.6206,2.6421,7.2182,29.7378,3.5,BEARISH_BOS,False,,,2.6399999999999864,,,BOS,False,,,228.45,2024-12-13 06:00:00,1,zone,inside_zone,,BELOW,0.21326985446225408,0.9426527567231604,1.0,SOLUSDT,17,0.6945701357466068,4.4199999999999875,0.8257918552036235,0.7285067873303186,0.8257918552036235,227.25,220.38,228.45,2024-12-13 23:00:00,224.64,-0.13009461122197183,stop_loss,trailing_stop,
SHORT,118.37,108.335,125.06,-1.0,RANGE,15.52,2.3529,20.5829,15.2095,5.0,BEARISH_BOS,False,SWEEP_HIGH,,5.22999999999999,,,SWEEP,False,125.06,,,2024-12-13 15:00:00,1,,,,,0.2109849027527371,1.4114889994158106,1.5,LTCUSDT,8,0.0,6.689999999999998,0.1300448430493281,1.0343796711509723,0.1300448430493281,125.29,117.5,125.06,2024-12-13 23:00:00,125.06,-1.4114889994158106,stop_loss,SL,
SHORT,521.0,,534.0,-1.0,TREND,37.4095,5.8,9.1133,34.6059,3.5,BEARISH_BOS,False,,,7.7999999999999545,,,BOS,False,,,534.0,2024-12-14 18:00:00,1,zone,inside_zone,,BELOW,0.07099219546163918,0.9228985410013094,1.0,BCHUSDT,5,0.03076923076922902,13.0,0.13846153846153497,1.0846153846153863,0.13846153846153497,535.1,519.2,534.0,2024-12-14 23:00:00,534.0,-0.9228985410013093,stop_loss,SL,
SHORT,2.3717,,2.4095,-0.23507462686567052,TREND,36.0923,0.0328,2.6591,34.5684,3.5,BEARISH_BOS,False,,,0.045800000000000285,,,BOS,False,,,2.5325,2024-12-14 20:30:00,1,zone,inside_zone,,BELOW,4.614492705006547,0.9228985410013094,1.0,XRPUSDT,5,0.0,0.16080000000000005,0.08022388059701573,0.3177860696517407,0.08022388059701573,2.4228,2.3588,2.5325,2024-12-15 01:00:00,2.4095,-0.1744278242492467,stop_loss,trailing_stop,15m
SHORT,16.434,,16.676,-0.3781249999999955,TREND,34.0949,0.2843,13.593,20.2261,3.5,BEARISH_BOS,False,,,0.33999999999999986,,,BOS,False,,,17.074,2024-12-15 06:00:00,1,zone,inside_zone,,BELOW,1.424883245857505,0.9119252773488039,1.0,UNIUSDT,6,0.1875000000000014,0.6400000000000006,0.36093750000000224,0.55,0.36093750000000224,16.786,16.203,17.074,2024-12-15 12:00:00,16.676,-0.3448217454975124,stop_loss,trailing_stop,
SHORT,6.804,6.5999,6.9401,1.4996326230712753,RANGE,11.9839,0.0878,27.1766,19.3653,5.0,BULLISH_BOS,False,SWEEP_HIGH,,0.07099999999999973,,,SWEEP,False,6.9401,,,2024-12-15 15:00:00,1,,,,,4.542385299469144,1.362715589840743,1.5,NEARUSDT,6,1.4621601763409258,0.1360999999999999,1.5429831006612795,0.433504775900075,1.5429831006612795,6.863,6.594,6.9401,2024-12-15 21:00:00,6.5999,0.9271008396216541,take_profit,TP,
SHORT,0.403,0.3909,0.411,-1.0,RANGE,16.2695,0.0037,19.479,15.6493,5.0,BULLISH_BOS,False,SWEEP_HIGH,,0.0026800000000000157,,,SWEEP,False,0.411,,,2024-12-15 15:00:00,1,,,,,4.542385299469144,1.362715589840743,1.5,DOGEUSDT,8,0.6350000000000074,0.007999999999999952,0.7625000000000108,1.0500000000000018,0.7625000000000108,0.4114,0.3969,0.411,2024-12-15 23:00:00,0.411,-0.03633908239575293,stop_loss,SL,
LONG,2.3921,2.4305000000000003,2.3665000000000003,1.5000000000000173,RANGE,15.6819,0.0256,12.6776,22.8476,4.0,,False,SWEEP_LOW,,0.0383,,,SWEEP,False,2.3748,,,2024-12-15 22:30:00,1,,,,,4.588740341450227,0.9177480682900453,1.0,XRPUSDT,1,2.179687500000016,0.025599999999999845,3.23437500000001,0.0,3.23437500000001,2.4749,2.3921,2.3665000000000003,2024-12-15 23:00:00,2.4305000000000003,0.1762076291116897,take_profit,TP,15m
SHORT,6.858,6.717,6.952,-1.0,RANGE,14.1701,0.094,32.6748,19.9848,4.0,BULLISH_BOS,False,SWEEP_HIGH,,0.18599999999999994,,,SWEEP,False,6.952,,,2024-12-15 23:00:00,1,,,,,4.595733768786023,0.9191467537572047,1.0,NEARUSDT,1,0.0,0.0940000000000003,0.276595744680848,2.085106382978723,0.276595744680848,7.054,6.832,6.952,2024-12-16 00:00:00,6.952,-0.4319989742658876,stop_loss,SL,
LONG,9.114,,8.831,-0.6008492569002148,TREND,38.2625,0.1781,34.0417,17.482,4.0,,True,,,0.20999999999999908,,,BOS,True,,8.643,,2024-12-16 00:30:00,1,momentum,inside_zone,10.0,ABOVE,1.942307354595638,0.9148267640145457,1.0,DOTUSDT,6,0.0,0.4710000000000001,0.19745222929936296,0.6178343949044592,0.19745222929936296,9.207,8.823,8.643,2024-12-16 06:00:00,8.831,-0.549672981350568,stop_loss,trailing_stop,15m
LONG,102216.7,,104150.0,1.1791290558672927,TREND,34.3234,543.7214,29.8209,12.3146,3.5,BULLISH_BOS,False,,,1149.7000000000116,,,BOS,False,,100577.1,,2024-12-15 04:30:00,1,zone,inside_zone,,ABOVE,0.0005561876539087636,0.9119252773488039,1.0,BTCUSDT,31,2.043059282751903,1639.5999999999913,2.751341790680672,0.4553549646255155,2.751341790680672,106727.8,101470.1,100577.1,2024-12-16 11:00:00,104150.0,1.0752775913018142,stop_loss,trailing_stop,15m
LONG,4033.01,,3981.61,-0.5750083902002451,TREND,36.0943,48.5743,38.3316,14.3477,4.0,,True,,,34.86000000000013,,,BOS,True,,3943.62,,2024-12-17 03:15:00,1,momentum,inside_zone,9.0,ABOVE,0.010292905359817146,0.9200828101140581,1.0,ETHUSDT,11,0.0,89.39000000000033,0.03859492113211551,0.6365365253384034,0.03859492113211551,4036.46,3976.11,3943.62,2024-12-17 14:00:00,3981.61,-0.5290553354946023,stop_loss,trailing_stop,15m
SHORT,0.3845,,0.36445,1.0282051282051279,TREND,38.4671,0.0061,1.7942,35.1392,3.5,BEARISH_BOS,False,,,0.00928000000000001,,,BOS,False,,,0.404,2024-12-18 04:00:00,1,zone,inside_zone,,BELOW,4.573961283795561,0.9147922567591121,1.0,DOGEUSDT,27,1.6251282051282034,0.019500000000000017,2.2748717948717934,0.2943589743589724,2.2748717948717934,0.39024,0.34014,0.404,2024-12-19 07:00:00,0.36445,0.09170792374010106,stop_loss,trailing_stop,
SHORT,117.31,,109.34,2.086387434554977,TREND,36.1612,3.0036,10.0832,31.0345,3.5,BEARISH_BOS,False,,,2.8799999999999955,,,BOS,False,,,121.13,2024-12-18 12:00:00,1,zone,inside_zone,,BELOW,0.2394744127641659,0.9147922567591121,1.0,LTCUSDT,19,2.7984293193717322,3.819999999999993,3.696335078534039,0.32984293193717096,3.696335078534039,118.57,103.19,121.13,2024-12-19 07:00:00,109.34,1.908611069730402,stop_loss,trailing_stop,
