direction,entry,tp,sl,rr,regime,adx,atr,plus_di,minus_di,confidence,bos,fvg,liquidity_sweep,bos_strength,range,volume,fvg_size,signal_type,has_fvg,nearest_level,last_swing_low,last_swing_high,timestamp,confidence_threshold_used,entry_mode,candles_since_bos,ema_position,position_size,risk_amount,symbol,bars_alive,max_r,initial_risk,mfe_r,mae_r,max_price_since_entry,min_price_since_entry,exit_time,exit_price,pnl,exit_reason,mtf_tf
SHORT,8.45,8.406,8.472,1.9999999999999192,RANGE,17.0534,0.022,33.1169,11.039,4.0,,False,SWEEP_HIGH,,0.05500000000000149,,,SWEEP,False,8.472,,,2023-08-13 20:00:00,1,,,,4.939801916906357,1.7783286900862887,ATOMUSDT,1,0.7727272727272397,0.02200000000000024,2.2272727272726796,0.36363636363640034,8.458,8.401,2023-08-13 21:00:00,8.406,0.21735128434387332,take_profit,
SHORT,6.866,6.7873,6.9054,-1.0,RANGE,17.1148,0.0394,25.4083,25.4083,4.0,BULLISH_BOS,False,SWEEP_HIGH,,0.06199999999999939,,,SWEEP,False,6.9054,,,2023-09-04 02:00:00,1,,,,4.950669481123551,1.7822410132044784,ATOMUSDT,1,0.12690355329948794,0.039400000000000546,0.15228426395937197,1.319796954314715,6.918,6.86,2023-09-04 03:00:00,6.9054,-0.19505637755627062,stop_loss,
LONG,6.928,,6.907,-0.08860759493670843,TREND,34.4966,0.0609,27.23,10.2113,5.0,BULLISH_BOS,True,,,0.036000000000000476,,,BOS,True,,6.691,,2023-09-07 01:00:00,1,zone,,ABOVE,4.940916662245737,1.976366664898295,ATOMUSDT,32,0.223628691983122,0.2370000000000001,0.2869198312236307,0.5316455696202543,6.996,6.802,2023-09-08 09:00:00,6.907,-0.10375924990716003,stop_loss,
LONG,6.651,,6.799,1.2131147540983664,TREND,33.6986,0.0415,23.2358,13.7694,3.5,BULLISH_BOS,False,SWEEP_HIGH,,0.06400000000000006,,,BOS,False,,6.529,,2023-09-14 14:00:00,1,zone,,ABOVE,4.9357286997503795,1.678147757915129,ATOMUSDT,21,2.0573770491803325,0.12199999999999989,3.262295081967221,0.20491803278688106,7.049,6.626,2023-09-15 11:00:00,6.799,0.730487847563059,stop_loss,
LONG,7.07,,7.037,-0.11262798634812404,TREND,31.8758,0.0572,41.3233,7.8652,5.0,BULLISH_BOS,True,,,0.1459999999999999,,,BOS,True,,6.777,,2023-09-16 02:00:00,1,zone,,ABOVE,4.972253092128533,1.9889012368514127,ATOMUSDT,17,0.2798634812286683,0.29300000000000015,0.290102389078498,0.12627986348122833,7.155,7.033,2023-09-16 19:00:00,7.037,-0.16408435204024338,stop_loss,
LONG,7.182,,7.067,-1.0,TREND,38.2214,0.0449,17.965,11.2878,4.5,BULLISH_BOS,False,SWEEP_HIGH,,0.07399999999999984,,,BOS,False,,7.067,,2023-09-29 07:00:00,1,zone,,ABOVE,4.96404887452652,1.8863385723200774,ATOMUSDT,7,0.0,0.11500000000000021,0.026086956521732346,1.0,7.185,7.067,2023-09-29 14:00:00,7.067,-0.5708656205705508,stop_loss,
LONG,7.412,,7.485,0.5251798561151099,TREND,35.4402,0.0518,35.5862,2.069,4.5,BULLISH_BOS,False,SWEEP_HIGH,,0.09299999999999997,,,BOS,False,,7.273,,2023-10-01 18:00:00,1,zone,,ABOVE,4.935505593497993,1.875492125529237,ATOMUSDT,11,1.482014388489209,0.13900000000000023,1.856115107913666,0.11510791366906466,7.67,7.396,2023-10-02 05:00:00,7.485,0.36029190832535546,stop_loss,
LONG,2.161,,2.1739,0.24855491329480106,TREND,32.7538,0.0224,25.717,17.9414,5.0,BULLISH_BOS,True,,,0.02069999999999972,,,BOS,True,,2.1091,,2023-10-22 06:00:00,1,zone,,ABOVE,4.95352018891426,1.981408075565704,TONUSDT,24,1.3603082851637764,0.051899999999999835,1.5183044315992296,0.8786127167630059,2.2398,2.1154,2023-10-23 06:00:00,2.1739,0.06390041043699463,stop_loss,
SHORT,2.0841,,2.0721,0.3269754768392358,TREND,31.3309,0.0161,14.9578,33.2446,4.0,BEARISH_BOS,True,,,0.025700000000000056,,,BOS,True,,,2.1208,2023-10-27 11:00:00,1,zone,,BELOW,4.95671520943611,1.7844174753969997,TONUSDT,18,1.283378746593997,0.03670000000000018,1.7820163487738307,0.4059945504087271,2.099,2.0187,2023-10-28 05:00:00,2.0721,0.059480582513233377,stop_loss,
SHORT,563.5,,555.3,0.9111111111111162,TREND,33.6379,4.0321,7.9717,29.8494,5.0,BEARISH_BOS,True,,,5.149999999999977,,,BOS,True,,,572.5,2024-08-26 06:45:00,1,zone,,BELOW,0.2204306328249676,1.9838756954247085,BNBUSDT,22,1.7277777777777727,9.0,1.9499999999999948,0.3555555555555606,566.7,545.95,2024-08-27 04:00:00,555.3,1.8075311891647443,stop_loss,15m
SHORT,505.15,,516.1,-1.0,TREND,39.5794,5.0571,8.7571,33.9689,3.5,BEARISH_BOS,False,,,3.849999999999966,,,BOS,False,,,516.1,2024-09-02 06:30:00,1,zone,,BELOW,0.15680569601157954,1.7170223713268031,BNBUSDT,3,0.20547945205479368,10.950000000000045,0.35159817351597716,1.0182648401826422,516.3,501.3,2024-09-02 09:00:00,516.1,-1.7170223713268031,stop_loss,15m
LONG,522.1,,540.3,1.304659498207876,TREND,37.6312,4.9607,29.4456,15.6947,5.0,BULLISH_BOS,True,,,6.850000000000023,,,BOS,True,,508.15,,2024-09-11 16:30:00,1,zone,,ABOVE,0.14234307324598286,1.9856858717814674,BNBUSDT,23,1.634408602150529,13.950000000000045,1.9068100358422893,0.0,548.7,522.1,2024-09-12 15:00:00,540.3,2.5906439330768785,stop_loss,15m
LONG,552.5,560.5358,548.4821,-1.0,RANGE,16.1772,4.0179,18.6667,25.6,4.0,BEARISH_BOS,False,SWEEP_LOW,,9.200000000000045,,,SWEEP,False,548.8821,,,2024-09-15 23:30:00,1,,,,0.45639485188747353,1.8337488753987046,BNBUSDT,2,0.0,4.017900000000054,0.5973269618457266,1.8417581323576688,554.9,545.1,2024-09-16 01:00:00,548.4821,-1.8337488753987046,stop_loss,15m
