time,symbol,direction,signal_type,selected_tf,status,entry
2022-02-20 21:00:00,AAVEUSDT,SHORT,BOS,30m,candidate,
2022-02-20 21:00:00,AAVEUSDT,SHORT,BOS,30m,accepted,136.7
2022-02-20 21:00:00,ETHUSDT,SHORT,BOS,30m,candidate,
2022-02-20 21:00:00,ETHUSDT,SHORT,BOS,30m,accepted,2624.85
2022-02-21 22:00:00,SOLUSDT,SHORT,BOS,30m,candidate,
2022-02-22 00:00:00,ATOMUSDT,SHORT,BOS,1h,candidate,
2022-02-22 02:00:00,AVAXUSDT,SHORT,BOS,30m,candidate,
2022-02-22 02:00:00,AVAXUSDT,SHORT,BOS,30m,accepted,70.4
2022-02-22 03:00:00,ATOMUSDT,SHORT,BOS,1h,candidate,
2022-02-22 03:00:00,AXSUSDT,SHORT,BOS,1h,candidate,
2022-02-22 04:00:00,AAVEUSDT,SHORT,BOS,30m,candidate,
2022-02-22 04:00:00,AAVEUSDT,SHORT,BOS,30m,accepted,126.4
2022-02-22 04:00:00,ATOMUSDT,SHORT,BOS,1h,candidate,
2022-02-22 04:00:00,AVAXUSDT,SHORT,BOS,30m,candidate,
2022-02-22 04:00:00,AVAXUSDT,SHORT,BOS,30m,accepted,67.68
2022-02-22 04:00:00,BCHUSDT,SHORT,BOS,30m,candidate,
2022-02-22 04:00:00,BCHUSDT,SHORT,BOS,30m,accepted,278.1
2022-02-22 04:00:00,DOGEUSDT,SHORT,BOS,15m,candidate,
2022-02-22 04:00:00,FILUSDT,SHORT,BOS,15m,candidate,
2022-02-22 04:00:00,FILUSDT,SHORT,BOS,15m,accepted,18.21
2022-02-22 04:00:00,LINKUSDT,SHORT,BOS,30m,candidate,
2022-02-22 04:00:00,LINKUSDT,SHORT,BOS,30m,accepted,13.194
2022-02-22 04:00:00,LTCUSDT,SHORT,BOS,30m,candidate,
2022-02-22 04:00:00,LTCUSDT,SHORT,BOS,30m,accepted,101.34
2022-02-22 04:00:00,UNIUSDT,SHORT,BOS,1h,candidate,
2022-02-24 01:00:00,ADAUSDT,SHORT,BOS,30m,candidate,
2022-02-24 01:00:00,ADAUSDT,SHORT,BOS,30m,accepted,0.8553
2022-02-24 01:00:00,AXSUSDT,SHORT,BOS,1h,candidate,
2022-02-24 01:00:00,BNBUSDT,SHORT,BOS,30m,candidate,
2022-02-24 01:00:00,BNBUSDT,SHORT,BOS,30m,accepted,362.55
2022-02-24 01:00:00,NEARUSDT,SHORT,BOS,30m,candidate,
2022-02-24 01:00:00,NEARUSDT,SHORT,BOS,30m,accepted,8.437
2022-02-24 02:00:00,ADAUSDT,SHORT,BOS,30m,candidate,
2022-02-24 02:00:00,ADAUSDT,SHORT,BOS,30m,accepted,0.8637
2022-02-24 02:00:00,BNBUSDT,SHORT,BOS,30m,candidate,
2022-02-24 02:00:00,BNBUSDT,SHORT,BOS,30m,accepted,366.05
2022-02-24 02:00:00,FILUSDT,SHORT,BOS,15m,candidate,
2022-02-24 02:00:00,FILUSDT,SHORT,BOS,15m,accepted,18.39
2022-02-24 02:00:00,NEARUSDT,SHORT,BOS,30m,candidate,
2022-02-24 02:00:00,NEARUSDT,SHORT,BOS,30m,accepted,8.572
2022-02-24 03:00:00,ADAUSDT,SHORT,BOS,30m,candidate,
2022-02-24 03:00:00,ADAUSDT,SHORT,BOS,30m,accepted,0.8288
2022-02-24 03:00:00,AXSUSDT,SHORT,BOS,1h,candidate,
2022-02-24 03:00:00,BNBUSDT,SHORT,BOS,30m,candidate,
2022-02-24 03:00:00,BNBUSDT,SHORT,BOS,30m,accepted,357.95
2022-02-24 03:00:00,DOGEUSDT,SHORT,BOS,15m,candidate,
2022-02-24 03:00:00,HBARUSDT,SHORT,BOS,15m,candidate,
2022-02-24 03:00:00,HBARUSDT,SHORT,BOS,15m,accepted,0.2066
2022-02-24 03:00:00,LINKUSDT,SHORT,BOS,30m,candidate,
2022-02-24 03:00:00,LINKUSDT,SHORT,BOS,30m,accepted,13.024
2022-02-24 03:00:00,NEARUSDT,SHORT,BOS,30m,candidate,
2022-02-24 03:00:00,NEARUSDT,SHORT,BOS,30m,accepted,8.298
2022-02-24 03:00:00,XRPUSDT,SHORT,BOS,30m,candidate,
2022-02-26 17:00:00,ATOMUSDT,LONG,BOS,1h,candidate,
2022-02-26 18:00:00,ATOMUSDT,LONG,BOS,1h,candidate,
2022-02-26 23:00:00,ATOMUSDT,LONG,BOS,1h,candidate,
2022-02-27 14:00:00,HBARUSDT,SHORT,BOS,15m,candidate,
2022-02-27 14:00:00,HBARUSDT,SHORT,BOS,15m,accepted,0.2195
2022-02-28 00:00:00,AVAXUSDT,SHORT,BOS,30m,candidate,
2022-02-28 00:00:00,AVAXUSDT,SHORT,BOS,30m,accepted,74.95
2022-02-28 23:00:00,XRPUSDT,LONG,BOS,30m,candidate,
2022-03-01 20:00:00,AVAXUSDT,LONG,BOS,30m,candidate,
2022-03-01 20:00:00,AVAXUSDT,LONG,BOS,30m,accepted,86.09
2022-03-03 03:00:00,AAVEUSDT,SHORT,BOS,30m,candidate,
2022-03-03 03:00:00,AAVEUSDT,SHORT,BOS,30m,accepted,134.95
2022-03-03 16:00:00,FILUSDT,SHORT,BOS,15m,candidate,
2022-03-03 16:00:00,FILUSDT,SHORT,BOS,15m,accepted,19.99
2022-03-04 00:00:00,BCHUSDT,SHORT,BOS,30m,candidate,
2022-03-04 00:00:00,BCHUSDT,SHORT,BOS,30m,accepted,315.25
2022-03-04 00:00:00,FILUSDT,SHORT,BOS,15m,candidate,
2022-03-04 00:00:00,FILUSDT,SHORT,BOS,15m,accepted,20.13
2022-03-04 01:00:00,BCHUSDT,SHORT,BOS,30m,candidate,
2022-03-04 01:00:00,BCHUSDT,SHORT,BOS,30m,accepted,307.5
2022-03-04 01:00:00,XRPUSDT,SHORT,BOS,30m,candidate,
2022-03-04 02:00:00,BCHUSDT,SHORT,BOS,30m,candidate,
2022-03-04 02:00:00,BCHUSDT,SHORT,BOS,30m,accepted,305.75
2022-03-04 14:00:00,BCHUSDT,SHORT,BOS,30m,candidate,
2022-03-04 14:00:00,BCHUSDT,SHORT,BOS,30m,accepted,304.6
2022-03-04 15:00:00,BCHUSDT,SHORT,BOS,30m,candidate,
2022-03-04 15:00:00,BCHUSDT,SHORT,BOS,30m,accepted,303.3
2022-03-04 19:00:00,AAVEUSDT,SHORT,BOS,30m,candidate,
2022-03-04 19:00:00,AAVEUSDT,SHORT,BOS,30m,accepted,125.75
2022-03-04 20:00:00,AAVEUSDT,SHORT,BOS,30m,candidate,
2022-03-04 20:00:00,AAVEUSDT,SHORT,BOS,30m,accepted,123.15
2022-03-04 20:00:00,ADAUSDT,SHORT,BOS,30m,candidate,
2022-03-04 20:00:00,ADAUSDT,SHORT,BOS,30m,accepted,0.8492
2022-03-05 01:00:00,ADAUSDT,SHORT,BOS,30m,candidate,
2022-03-05 01:00:00,ADAUSDT,SHORT,BOS,30m,accepted,0.8213
2022-03-05 04:00:00,AVAXUSDT,SHORT,BOS,30m,candidate,
2022-03-05 04:00:00,AVAXUSDT,SHORT,BOS,30m,accepted,74.995
2022-03-06 09:00:00,SOLUSDT,SHORT,BOS,30m,candidate,
2022-03-06 10:00:00,AAVEUSDT,SHORT,BOS,30m,candidate,
2022-03-06 10:00:00,AAVEUSDT,SHORT,BOS,30m,accepted,119.65
2022-03-06 10:00:00,ADAUSDT,SHORT,BOS,30m,candidate,
2022-03-06 10:00:00,ADAUSDT,SHORT,BOS,30m,accepted,0.8361
2022-03-06 10:00:00,ATOMUSDT,SHORT,BOS,1h,candidate,
2022-03-06 10:00:00,DOGEUSDT,SHORT,BOS,15m,candidate,
2022-03-06 10:00:00,ETHUSDT,SHORT,BOS,30m,candidate,
2022-03-06 10:00:00,ETHUSDT,SHORT,BOS,30m,accepted,2607.05
2022-03-06 10:00:00,LINKUSDT,SHORT,BOS,30m,candidate,
2022-03-06 10:00:00,LINKUSDT,SHORT,BOS,30m,accepted,13.553
2022-03-06 10:00:00,SOLUSDT,SHORT,BOS,30m,candidate,
2022-03-06 10:00:00,UNIUSDT,SHORT,BOS,1h,candidate,
2022-03-06 11:00:00,AAVEUSDT,SHORT,BOS,30m,candidate,
2022-03-06 11:00:00,AAVEUSDT,SHORT,BOS,30m,accepted,119.05
2022-03-06 11:00:00,ADAUSDT,SHORT,BOS,30m,candidate,
2022-03-06 11:00:00,ADAUSDT,SHORT,BOS,30m,accepted,0.8308
2022-03-06 11:00:00,ATOMUSDT,SHORT,BOS,1h,candidate,
2022-03-06 11:00:00,UNIUSDT,SHORT,BOS,1h,candidate,
2022-03-06 17:00:00,BCHUSDT,SHORT,BOS,30m,candidate,
2022-03-06 17:00:00,BCHUSDT,SHORT,BOS,30m,accepted,290.8
2022-03-06 17:00:00,BTCUSDT,SHORT,BOS,30m,candidate,
2022-03-06 17:00:00,BTCUSDT,SHORT,BOS,30m,accepted,39201.0
2022-03-06 17:00:00,HBARUSDT,SHORT,BOS,15m,candidate,
2022-03-06 17:00:00,HBARUSDT,SHORT,BOS,15m,accepted,0.209
2022-03-06 19:00:00,BNBUSDT,SHORT,BOS,30m,candidate,
2022-03-06 19:00:00,BNBUSDT,SHORT,BOS,30m,accepted,380.15
2022-03-06 19:00:00,BTCUSDT,SHORT,BOS,30m,candidate,
2022-03-06 19:00:00,BTCUSDT,SHORT,BOS,30m,accepted,38866.5
2022-03-07 02:00:00,AAVEUSDT,SHORT,BOS,30m,candidate,
2022-03-07 02:00:00,AAVEUSDT,SHORT,BOS,30m,accepted,116.05
2022-03-07 02:00:00,ADAUSDT,SHORT,BOS,30m,candidate,
2022-03-07 02:00:00,ADAUSDT,SHORT,BOS,30m,accepted,0.8197
2022-03-07 02:00:00,ATOMUSDT,SHORT,BOS,1h,candidate,
2022-03-07 02:00:00,SOLUSDT,SHORT,BOS,30m,candidate,
2022-03-07 03:00:00,SOLUSDT,SHORT,BOS,30m,candidate,
2022-03-07 07:00:00,ATOMUSDT,SHORT,BOS,1h,candidate,
2022-03-07 08:00:00,AAVEUSDT,SHORT,BOS,30m,candidate,
2022-03-07 08:00:00,AAVEUSDT,SHORT,BOS,30m,accepted,114.9
