direction,entry,tp,sl,rr,regime,adx,atr,plus_di,minus_di,confidence,signal_type,has_fvg,timestamp,position_size,risk_amount,symbol,bars_alive,max_r,initial_risk,exit_time,exit_price,pnl,exit_reason,ema_position
LONG,0.366,,0.3277,,TREND,30.605,0.0143,48.1133,10.2454,4,BOS,True,2024-12-06 22:00:00,5.062877030775971,0.4581903712852253,HBARUSDT,21,0.021436464088397767,0.09049999999999997,2024-12-07 19:00:00,0.3277,-0.19390819027871972,stop_loss,ABOVE
LONG,1.1975,1.2187,1.1929,4.59,RANGE,14.9024,0.0154,14.7959,24.2115,4,SWEEP,False,2024-12-08 06:00:00,69.93795428835118,0.32171458972641104,ADAUSDT,2,1.2608695652174144,0.0045999999999999375,2024-12-08 08:00:00,1.1929,-0.32171458972641104,stop_loss,
LONG,51.34,53.17,51.152,9.73,RANGE,18.19,0.6268,13.9031,25.5271,4,SWEEP,False,2024-12-08 06:00:00,1.711247817693654,0.32171458972641104,AVAXUSDT,2,1.4095744680850537,0.1880000000000024,2024-12-08 08:00:00,51.152,-0.32171458972641104,stop_loss,
LONG,0.458,,0.4488,,TREND,35.9293,0.0073,32.5886,11.752,4,BOS,True,2024-12-07 16:00:00,33.47458341926665,0.5088136679728528,DOGEUSDT,17,1.1138157894736849,0.015199999999999991,2024-12-08 09:00:00,0.4488,-0.3079661674572546,stop_loss,ABOVE
LONG,1.1805,1.2187,1.1569,1.62,RANGE,15.5815,0.0157,16.5683,26.1462,4,SWEEP,False,2024-12-08 08:00:00,13.5460927038616,0.31968778781113466,ADAUSDT,3,1.1906779661016829,0.023600000000000065,2024-12-08 11:00:00,1.2187,0.5174607412875103,take_profit,
LONG,1.1743,1.2221,1.1698,10.52,RANGE,19.3412,0.0151,17.9717,28.3019,4,SWEEP,False,2024-12-09 00:00:00,71.18837682637857,0.3203476957186999,ADAUSDT,1,0.0,0.0044999999999999485,2024-12-09 01:00:00,1.1698,-0.3203476957186999,stop_loss,
LONG,2.4933,2.6243,2.4784,8.82,RANGE,22.1898,0.0495,26.1723,29.2454,4,SWEEP,False,2024-12-09 00:00:00,21.499845350248442,0.3203476957186999,XRPUSDT,2,0.6979865771811948,0.014899999999999913,2024-12-09 02:00:00,2.4784,-0.3203476957186999,stop_loss,
SHORT,124.49,,112.91,,TREND,30.082,2.2771,11.857,41.8758,4,BOS,True,2024-12-09 08:00:00,0.036798639190616746,0.45225527565268003,LTCUSDT,21,1.4117168429617564,12.290000000000006,2024-12-10 05:00:00,112.91,0.4261282418273418,stop_loss,BELOW
SHORT,8.555,,7.531,,TREND,35.0738,0.1728,8.3506,43.241,4,BOS,True,2024-12-09 08:00:00,0.5267357042309339,0.5025058618363112,AXSUSDT,25,1.373165618448636,0.9540000000000006,2024-12-10 09:00:00,7.531,0.5393773611324763,stop_loss,BELOW
LONG,99310.9,101961.0,99038.8429,9.74,RANGE,17.332,906.8571,18.2443,22.9687,3,SWEEP,False,2024-12-13 01:00:00,0.0014437652678774135,0.3927865918594391,BTCUSDT,24,10.52389369731612,272.0570999999909,2024-12-14 01:00:00,101961.0,3.8261223364019417,take_profit,
LONG,53.61,,52.03,,TREND,31.35,0.8918,20.5847,7.8494,5,BOS,True,2024-12-14 01:00:00,0.23233680858887049,0.6842319012942236,AVAXUSDT,11,0.0,2.9450000000000003,2024-12-14 12:00:00,52.03,-0.36709215757041497,stop_loss,ABOVE
SHORT,523.4,,534.0,,TREND,35.5931,6.3214,13.3333,25.9887,4,BOS,True,2024-12-14 13:00:00,0.018732388071831023,0.5245068660112686,BCHUSDT,10,0.09999999999999838,28.0,2024-12-14 23:00:00,534.0,-0.19856331356140927,stop_loss,BELOW
SHORT,119.67,,120.18,,TREND,37.9094,1.595,11.33,23.4662,3,BOS,True,2024-12-14 12:00:00,0.10668593798306139,0.443813502009535,LTCUSDT,26,1.0288461538461549,4.159999999999997,2024-12-15 14:00:00,120.18,-0.05440982837136186,stop_loss,BELOW
SHORT,3844.45,,3912.12,,TREND,36.6348,28.3271,16.201,23.4177,4,BOS,True,2024-12-15 07:00:00,0.005355941832434843,0.3624365838008662,ETHUSDT,9,0.0,67.67000000000007,2024-12-15 16:00:00,3912.12,-0.3624365838008662,stop_loss,BELOW
SHORT,0.403,0.3871,0.411,1.97,RANGE,16.2695,0.0037,19.479,15.6493,5,SWEEP,False,2024-12-15 15:00:00,41.43374094390359,0.3314699275512267,DOGEUSDT,8,0.6350000000000074,0.007999999999999952,2024-12-15 23:00:00,0.411,-0.3314699275512267,stop_loss,
SHORT,7.532,,7.896,,TREND,30.1294,0.1106,13.9445,32.7308,3,BOS,True,2024-12-14 13:00:00,1.4141116485597918,0.5769575526123956,AXSUSDT,35,0.41421568627450844,0.40800000000000036,2024-12-16 00:00:00,7.896,-0.514736640075764,stop_loss,BELOW
SHORT,6.804,6.465,6.9401,2.49,RANGE,11.9839,0.0878,27.1766,19.3653,5,SWEEP,False,2024-12-15 15:00:00,2.435488078995055,0.3314699275512267,NEARUSDT,9,1.4621601763409258,0.1360999999999999,2024-12-16 00:00:00,6.9401,-0.3314699275512267,stop_loss,
LONG,2.5886,,2.5778,,TREND,37.1625,0.0351,35.9959,13.8415,4,BOS,True,2024-12-17 09:00:00,2.7995877544495094,0.35694743869231227,XRPUSDT,13,0.9960784313725477,0.12749999999999995,2024-12-17 22:00:00,2.5778,-0.030235547748055102,stop_loss,ABOVE
SHORT,484.8,,484.3,,TREND,37.8422,10.3357,10.6427,46.1645,4,BOS,True,2024-12-18 20:00:00,0.008356987185461117,0.35684335281918955,BCHUSDT,14,0.30679156908665167,42.69999999999999,2024-12-19 10:00:00,484.3,0.004178493592730558,stop_loss,BELOW
SHORT,0.2573,,0.27178,,TREND,33.451,0.0099,14.7145,23.2388,4,BOS,True,2024-12-20 09:00:00,23.186834909992918,0.6700995288987962,HBARUSDT,10,0.7854671280276796,0.028900000000000037,2024-12-20 19:00:00,0.27178,-0.3357453694966986,stop_loss,BELOW
SHORT,6.407,,7.267,,TREND,38.7428,0.2052,13.505,36.1991,4,BOS,True,2024-12-20 09:00:00,0.413508386191637,0.35685773728338255,DOTUSDT,13,0.3881807647740442,0.8629999999999995,2024-12-20 22:00:00,7.267,-0.35561721212480796,stop_loss,BELOW
SHORT,2.1288,,2.2967,,TREND,38.0957,0.0642,17.0911,29.5897,4,BOS,True,2024-12-20 09:00:00,1.7878644152474095,0.35685773728338255,XRPUSDT,17,0.8121242484969956,0.19959999999999978,2024-12-21 02:00:00,2.2967,-0.30018243532003996,stop_loss,BELOW
SHORT,14.21,13.474,14.3308,6.09,RANGE,19.4535,0.4026,19.4287,25.1597,4,SWEEP,False,2024-12-23 03:00:00,2.6772609671232597,0.32341312482848744,UNIUSDT,1,0.8195364238410672,0.12079999999999913,2024-12-23 04:00:00,14.3308,-0.32341312482848744,stop_loss,
SHORT,7.085,6.65,7.1297,9.74,RANGE,13.7467,0.1489,31.0791,14.964,4,SWEEP,False,2024-12-23 16:00:00,7.21240209139328,0.3223943734852777,DOTUSDT,4,3.0648769574944152,0.04469999999999974,2024-12-23 20:00:00,7.1297,-0.3223943734852777,stop_loss,
SHORT,0.3222,0.3027,0.3241,10.4,RANGE,15.1709,0.0063,26.6994,15.0234,4,SWEEP,False,2024-12-23 20:00:00,169.14675326778783,0.32137883120879907,DOGEUSDT,1,0.326315789473687,0.0019000000000000128,2024-12-23 21:00:00,0.3241,-0.32137883120879907,stop_loss,
LONG,339.44,,375.26,,TREND,31.4124,9.955,31.1473,12.126,4,BOS,True,2024-12-23 09:00:00,0.03186894560360595,0.6615993107308593,AAVEUSDT,23,2.3473025048169576,20.75999999999999,2024-12-24 08:00:00,375.26,1.141545631521165,stop_loss,ABOVE
LONG,109.17,,107.53,,TREND,33.0086,1.335,33.0123,16.4259,3,BOS,True,2024-12-24 14:00:00,0.19818394031302777,0.8125541552834156,LTCUSDT,13,0.27804878048780446,4.1000000000000085,2024-12-25 03:00:00,107.53,-0.32502166211336564,stop_loss,ABOVE
SHORT,5.144,,5.021,,TREND,30.064,0.0626,9.9315,25.2283,4,BOS,True,2024-12-26 05:00:00,2.1143013590056534,0.458803394904226,FILUSDT,20,0.8294930875576038,0.21699999999999964,2024-12-27 01:00:00,5.021,0.26005906715769583,stop_loss,BELOW
SHORT,6.533,,6.358,,TREND,36.365,0.0862,3.2312,36.6197,4,BOS,True,2024-12-26 04:00:00,1.373251705789364,0.35292568838786614,AXSUSDT,26,1.1517509727626485,0.2569999999999997,2024-12-27 06:00:00,6.358,0.24031904851313968,stop_loss,BELOW
LONG,691.7,713.1,677.866,1.55,RANGE,16.9715,8.5321,23.1059,25.4081,4,SWEEP,False,2024-12-26 13:00:00,0.02334382957887267,0.3229385383941259,BNBUSDT,49,2.211941593176216,13.83400000000006,2024-12-28 14:00:00,713.1,0.4995579529878746,take_profit,
LONG,194.78,,192.59,,TREND,37.8049,1.6264,46.2451,2.4594,3,BOS,True,2024-12-28 17:00:00,0.03931054604238325,0.43556085014960694,SOLUSDT,8,0.055956678700361355,11.080000000000013,2024-12-29 01:00:00,192.59,-0.08609009583281924,stop_loss,ABOVE
SHORT,6.485,,6.314,,TREND,38.9604,0.0716,5.8882,28.6427,3,BOS,True,2024-12-29 12:00:00,2.7030970563440464,0.43519862607139037,AXSUSDT,49,2.7639751552795118,0.1609999999999996,2024-12-31 13:00:00,6.314,0.46222959663483265,stop_loss,BELOW
SHORT,314.29,,320.13,,TREND,35.2116,6.835,7.7542,34.0892,4,BOS,True,2024-12-31 00:00:00,0.02516270298402453,0.5143256489934613,AAVEUSDT,13,0.22700587084148943,20.439999999999998,2024-12-31 13:00:00,320.13,-0.14695018542670263,stop_loss,BELOW
SHORT,191.07,,191.76,,TREND,32.7018,2.2864,18.0256,26.398,4,BOS,True,2024-12-31 22:00:00,0.08300264710710406,0.6706613886254018,SOLUSDT,17,0.2462871287128685,8.080000000000013,2025-01-01 15:00:00,191.76,-0.05727182650390161,stop_loss,BELOW
LONG,0.2906,,0.29046,,TREND,31.7868,0.005,48.3912,8.4479,4,BOS,True,2025-01-01 16:00:00,25.19891613612495,0.670291169220924,HBARUSDT,13,0.3375939849624054,0.026600000000000013,2025-01-02 05:00:00,0.29046,-0.0035278482590582233,stop_loss,ABOVE
LONG,2.2627,,2.3742,,TREND,33.3463,0.0321,46.7825,9.3298,4,BOS,True,2025-01-01 16:00:00,3.8128052856707813,0.670291169220924,XRPUSDT,28,0.9163822525597249,0.17580000000000018,2025-01-02 20:00:00,2.3742,0.42512778935229184,stop_loss,ABOVE
LONG,14.13,14.387,14.0858,5.82,RANGE,22.5341,0.1473,15.1794,22.8904,4,SWEEP,False,2025-01-03 08:00:00,7.419862373637767,0.3279579169147894,UNIUSDT,3,8.190045248868778,0.04420000000000002,2025-01-03 11:00:00,14.387,1.9069046300249037,take_profit,
LONG,7.494,,7.633,,TREND,32.5223,0.0941,36.6743,10.858,4,BOS,True,2025-01-03 09:00:00,2.2138700547372934,0.6730164966401359,DOTUSDT,16,1.3059210526315823,0.3039999999999994,2025-01-04 01:00:00,7.633,0.30772793760848427,stop_loss,ABOVE
LONG,193.0,,215.64,,TREND,30.4313,1.7786,25.0602,15.9438,3,BOS,True,2025-01-01 19:00:00,0.14770037783313616,0.5671694508792434,SOLUSDT,57,6.536458333333326,3.8400000000000034,2025-01-04 04:00:00,215.64,3.343936554142201,stop_loss,ABOVE
