direction,entry,entry_level,tp,sl,rr,regime,adx,atr,plus_di,minus_di,confidence,confidence_bucket,position_size_multiplier,bos,fvg,liquidity_sweep,bos_strength,range,volume,fvg_size,signal_type,has_fvg,nearest_level,last_swing_low,last_swing_high,timestamp,confidence_threshold_used,entry_type,position_size,risk_amount,symbol,bars_alive,max_r,initial_risk,mfe_r,mae_r,max_r_reached,max_price_since_entry,min_price_since_entry,original_sl,scale_level,signal_id,exit_time,exit_price,pnl,exit_reason,exit_type,entry_mode,candles_since_bos,ema_position,mtf_tf
LONG,9.326,2.0,,9.21,-0.5799999999999952,TREND,36.7324,0.0671,23.1097,7.0288,3.5,3_to_4,0.5,BULLISH_BOS,False,,,0.09499999999999886,,,BOS,False,,9.126,,2023-06-29 10:00:00,2.5,zone,5.1454394284932885,0.5145439428493288,ATOMUSDT,6,0.38499999999999773,0.20000000000000107,0.5199999999999932,0.7250000000000029,0.5199999999999932,9.43,9.181,9.126,1,19,2023-06-29 16:00:00,9.21,-0.5968709737052197,stop_loss,trailing_stop,zone,,BELOW,
LONG,9.403,2.0,,9.21,-1.0,TREND,36.7324,0.0671,23.1097,7.0288,3.5,3_to_4,0.5,BULLISH_BOS,False,,,0.09499999999999886,,,BOS,False,,9.126,,2023-06-29 11:00:00,2.5,zone,5.1454394284932885,0.5145439428493288,ATOMUSDT,5,0.0,0.19299999999999962,0.1398963730569912,1.150259067357522,0.1398963730569912,9.43,9.181,9.126,2,19,2023-06-29 16:00:00,9.21,-0.9930698096992027,stop_loss,trailing_stop,zone,,BELOW,
SHORT,9.1022,1.0,,9.386,-0.8657718120805353,TREND,32.0243,0.0953,18.3658,25.0375,3.5,3_to_4,0.5,BEARISH_BOS,False,,,0.11800000000000033,,,BOS,False,,,9.43,2023-06-29 20:00:00,2.5,zone,1.5454369705073425,0.5065942389323067,ATOMUSDT,15,0.5253203172666266,0.32779999999999987,0.7846247712019503,0.8657718120805353,0.7846247712019503,9.386,8.845,9.43,0,20,2023-06-30 11:00:00,9.386,-0.4385950122299829,stop_loss,trailing_stop,zone,,BELOW,
LONG,9.874,2.0,,9.825,-0.2899408284023735,TREND,36.94,0.0771,46.9444,6.0185,3.5,3_to_4,0.5,,False,SWEEP_HIGH,,0.13900000000000112,,,BOS,False,,9.705,,2023-07-03 08:00:00,2.5,momentum,2.9846228631429312,0.5044012638711568,ATOMUSDT,17,0.952662721893486,0.16900000000000048,1.3017751479289836,0.36686390532544966,1.3017751479289836,10.094,9.812,9.705,0,21,2023-07-04 01:00:00,9.825,-0.1462465202940074,stop_loss,trailing_stop,momentum,3.0,ABOVE,
LONG,10.003,2.0,,9.825,-1.0,TREND,36.94,0.0771,46.9444,6.0185,3.5,3_to_4,0.5,,False,SWEEP_HIGH,,0.13900000000000112,,,BOS,False,,9.705,,2023-07-03 17:00:00,2.5,momentum,2.9846228631429312,0.5044012638711568,ATOMUSDT,8,0.17977528089887573,0.17800000000000082,0.5112359550561735,1.0730337078651677,0.5112359550561735,10.094,9.812,9.705,1,21,2023-07-04 01:00:00,9.825,-0.5312628696394442,stop_loss,trailing_stop,momentum,3.0,ABOVE,
SHORT,9.3674,1.0,,9.423,-0.1135620915032683,TREND,30.606,0.0984,7.9826,50.6531,3.5,3_to_4,0.5,BEARISH_BOS,False,,,0.1999999999999993,,,BOS,False,,,9.857,2023-07-05 15:00:00,2.5,zone,1.023312330313501,0.5010137169214894,ATOMUSDT,14,0.17034313725490066,0.48959999999999937,0.22140522875816943,0.21364379084967264,0.22140522875816943,9.472,9.259,9.857,0,22,2023-07-06 05:00:00,9.423,-0.05689616556543075,stop_loss,trailing_stop,zone,,BELOW,
SHORT,9.0108,1.0,,9.077,-0.27791771620486994,TREND,32.4789,0.0646,4.8619,42.9834,3.5,3_to_4,0.5,BEARISH_BOS,False,,,0.11499999999999844,,,BOS,False,,,9.249,2023-07-12 19:00:00,2.5,zone,2.102137850938961,0.5007292360936623,ATOMUSDT,14,0.20906801007556347,0.23820000000000086,0.32241813602015174,0.5591939546599494,0.32241813602015174,9.144,8.934,9.249,0,23,2023-07-13 09:00:00,9.077,-0.13916152573215976,stop_loss,trailing_stop,zone,,BELOW,
LONG,9.8213,1.0,,9.687,-0.6983879355174235,TREND,35.5495,0.1051,26.8525,7.274,4.0,4_to_5,1.0,BULLISH_BOS,True,,,0.07200000000000095,,,BOS,True,,9.629,,2023-07-15 08:00:00,2.5,zone,5.000334284650015,1.0000668569300029,ATOMUSDT,8,0.4092563702548052,0.19230000000000125,0.840873634945391,0.7503900156006255,0.840873634945391,9.983,9.677,9.629,0,24,2023-07-15 16:00:00,9.687,-0.6715448944285042,stop_loss,trailing_stop,zone,,ABOVE,
SHORT,9.335,,,9.328,0.07291666666668305,TREND,35.2635,0.0597,10.0478,39.7129,4.0,4_to_5,1.0,,True,,,0.049999999999998934,,,BOS,True,,,9.431,2023-07-22 18:00:00,2.5,momentum,4.96675703992859,0.9933514079857179,ATOMUSDT,11,0.9375000000000335,0.09599999999999831,1.7708333333333823,0.4791666666666686,1.7708333333333823,9.381,9.165,9.431,0,25,2023-07-23 05:00:00,9.328,0.03476729927950733,stop_loss,trailing_stop,momentum,8.0,BELOW,
SHORT,9.258,,,9.328,-0.5691056910569078,TREND,35.2635,0.0597,10.0478,39.7129,4.0,4_to_5,1.0,,True,,,0.049999999999998934,,,BOS,True,,,9.431,2023-07-22 23:00:00,2.5,momentum,4.96675703992859,0.9933514079857179,ATOMUSDT,6,0.10569105691056735,0.12300000000000111,0.3495934959349502,0.6504065040650354,0.3495934959349502,9.338,9.215,9.431,1,25,2023-07-23 05:00:00,9.328,-0.3476729927950027,stop_loss,trailing_stop,momentum,8.0,BELOW,
