timestamp,symbol,tf,trade_type,entry,exit,PnL,R,confidence,regime
2025-12-17 05:00:00,XRPUSDT,15m,aligned,1.9176,1.9282,-0.45709975831239663,-0.21031742421052366,3.0,TREND
2025-12-18 05:00:00,FILUSDT,15m,aligned,1.205,1.221,-0.8585124024649313,-0.39584502857142784,2.5,TREND
2025-12-18 07:00:00,FARTCOINUSDT,30m,aligned,0.2885,0.2464,1.2138211749092014,0.5596716789215679,4.0,TREND
2025-12-18 18:00:00,WIFUSDT,30m,aligned,0.3392,0.3483,-0.40123402657823626,-0.18573721199059526,4.0,TREND
2025-12-19 03:00:00,ARCUSDT,15m,aligned,0.0381,0.04682,6.2282467604708325,2.867038495999999,3.5,TREND
2025-12-19 16:00:00,ARCUSDT,15m,aligned,0.0391,0.0413,1.132923022440116,0.5078931581508522,3.5,TREND
2025-12-19 17:00:00,ARCUSDT,15m,aligned,0.0449,0.04402,-0.304327637498905,-0.13574166918918892,4.0,TREND
2025-12-21 02:00:00,DOTUSDT,30m,standalone,1.8101,1.823,-0.521631624590877,-0.23298374559585136,3.0,TREND
2025-12-21 15:00:00,PIPPINUSDT,15m,aligned,0.4432,0.4187,-2.343716129507197,-1.0492518285714285,2.5,TREND
2025-12-21 22:00:00,WIFUSDT,30m,aligned,0.3358,0.3376,-0.6449390874809077,-0.29179264610389805,2.5,TREND
2025-12-23 00:00:00,ARCUSDT,15m,standalone,0.0448,0.04342,-0.8955285649380746,-0.40635366270270074,2.5,TREND
2025-12-23 07:00:00,FARTCOINUSDT,30m,aligned,0.287,0.2794,0.39158280029712345,0.17840897993310978,3.5,TREND
2025-12-23 09:00:00,DOTUSDT,30m,standalone,1.7593,1.7727,-0.5045649917377791,-0.22988477894736692,2.5,TREND
2025-12-23 13:00:00,DOTUSDT,30m,standalone,1.76,1.7726,-0.4857359271800408,-0.22181599292034893,3.0,TREND
2025-12-23 13:00:00,PIPPINUSDT,15m,aligned,0.4304,0.47972,1.237782511902587,0.565245314447059,3.5,TREND
2025-12-23 18:00:00,WIFUSDT,30m,aligned,0.3192,0.3259,-0.8628652433618491,-0.39491170744681164,2.5,TREND
2025-12-24 02:00:00,DOTUSDT,30m,standalone,1.759,1.7501,0.09438881221476121,0.043292763952225595,4.0,TREND
2025-12-24 03:00:00,WIFUSDT,30m,aligned,0.3145,0.3191,-0.6028982268664808,-0.27652780038759744,2.5,TREND
2025-12-24 05:00:00,XRPUSDT,15m,aligned,1.8542,1.8617,-0.43021784258659856,-0.19724010869564823,3.5,TREND
2025-12-24 10:00:00,PIPPINUSDT,15m,standalone,0.4908,0.4833,-0.3560564057892425,-0.1626374862385317,4.0,TREND
2025-12-24 14:00:00,WIFUSDT,30m,aligned,0.3164,0.3191,-1.1093083442618876,-0.5089330218446612,2.5,TREND
2025-12-24 15:00:00,PIPPINUSDT,15m,aligned,0.5137,0.49395,-0.7460370703162769,-0.34402077548366083,2.5,TREND
2025-12-25 10:00:00,DOTUSDT,30m,aligned,1.7297,1.7363,-0.34810166938917547,-0.16107458002812725,4.0,TREND
2025-12-25 20:00:00,ARCUSDT,15m,aligned,0.0432,0.04619,3.2533296470287207,1.5078185242105282,3.5,TREND
2025-12-25 23:00:00,DOTUSDT,30m,aligned,1.7188,1.7343,-0.7411182415682683,-0.34348557770269594,5.0,TREND
2025-12-29 16:00:00,ARCUSDT,15m,aligned,0.0378,0.03848,-0.49068011658955696,-0.2247977919999988,2.5,TREND
2025-12-29 17:00:00,ARCUSDT,15m,aligned,0.0382,0.0367,0.9801336928798179,0.45004535483870844,2.5,TREND
2025-12-29 18:00:00,PUMPFUNUSDT,30m,aligned,0.0018,0.001799,-0.2917454237256226,-0.13395996250000028,2.5,TREND
2025-12-29 18:00:00,WIFUSDT,30m,aligned,0.2923,0.2903,-0.026165348378424436,-0.012014272727272065,3.5,TREND
2025-12-30 14:00:00,WIFUSDT,30m,aligned,0.2862,0.2769,0.41609190576786903,0.19047661824324413,2.5,TREND
2025-12-30 23:00:00,ARCUSDT,15m,aligned,0.035,0.03643,-1.2854832098487923,-0.5884625276923048,2.5,TREND
2025-12-31 23:00:00,WIFUSDT,30m,aligned,0.2707,0.2692,-0.09696855951082378,-0.04456718750000002,2.5,TREND
2026-01-01 01:00:00,WIFUSDT,30m,aligned,0.2701,0.2692,-0.17754342998721576,-0.08163614448051727,2.5,TREND
2026-01-01 05:00:00,XRPUSDT,15m,standalone,1.8299,1.8437,-0.8575826767051469,-0.39464678166666284,2.5,TREND
2026-01-01 17:00:00,FILUSDT,15m,aligned,1.5135,1.4754,-0.4007144094832188,-0.1851334292469351,3.5,TREND
2026-01-02 18:00:00,XPLUSDT,30m,aligned,0.192,0.19387,0.1730684686080849,0.08010739445783202,4.0,TREND
2026-01-02 23:00:00,DOTUSDT,30m,aligned,2.1348,2.1528,0.07793078502741223,0.03607145880938238,3.5,TREND
2026-01-03 21:00:00,FILUSDT,15m,aligned,1.4839,1.4646,-0.24468256012163636,-0.1131236490584255,3.0,TREND
2026-01-03 23:00:00,XPLUSDT,30m,aligned,0.1973,0.18817,-1.8842473335609584,-0.8711406893693668,4.0,TREND
2026-01-04 00:00:00,WIFUSDT,30m,aligned,0.3386,0.4106,6.941959584853334,3.2094637209302297,2.5,TREND
2026-01-04 07:00:00,DOTUSDT,30m,aligned,2.1224,2.1365,0.04869513425466461,0.022736925509919778,2.5,TREND
2026-01-04 07:00:00,XRPUSDT,15m,aligned,2.0669,2.0909,0.16114952465303167,0.07524457615894088,2.5,TREND
2026-01-05 02:00:00,XRPUSDT,15m,aligned,2.1559,2.3212,1.2645736430275045,0.5898817734421394,4.0,TREND
2026-01-05 20:00:00,PUMPFUNUSDT,30m,aligned,0.0024,0.002428,0.18625340001174395,0.08688105000000074,2.5,TREND
2026-01-06 01:00:00,DOTUSDT,30m,aligned,2.2092,2.1993,-0.3348578041297198,-0.15528409623188194,2.5,TREND
2026-01-06 01:00:00,XRPUSDT,15m,aligned,2.3708,2.378,0.0031489154489783774,0.0014602511381690674,2.5,TREND
2026-01-06 06:00:00,DOTUSDT,30m,aligned,2.21,2.1993,-0.4170234530283623,-0.18747804755555533,2.5,TREND
2026-01-06 06:00:00,FARTCOINUSDT,30m,aligned,0.4445,0.4222,-0.7367028619041174,-0.33119387692802116,2.5,TREND
2026-01-06 10:00:00,DOTUSDT,30m,aligned,2.1858,2.2033,0.3814090361110736,0.1717892133131653,2.5,TREND
2026-01-06 12:00:00,XPLUSDT,30m,aligned,0.1974,0.19076,-1.594875361496038,-0.718342665599998,5.0,TREND
2026-01-06 15:00:00,DOTUSDT,30m,aligned,2.2185,2.2033,-0.4556815921576157,-0.20489009655172344,2.5,TREND
2026-01-06 20:00:00,WIFUSDT,30m,aligned,0.4228,0.4601,1.8494016830311695,0.8421082263092257,2.5,TREND
2026-01-07 07:00:00,XRPUSDT,15m,aligned,2.2633,2.2723,0.03047345225507668,0.013759935617861057,2.5,TREND
2026-01-08 01:00:00,ARCUSDT,15m,standalone,0.0324,0.03294,-0.3496729329485526,-0.1578690539999986,2.5,TREND
2026-01-08 03:00:00,XPLUSDT,30m,aligned,0.1758,0.16573,2.9461121697545307,1.3322030594444532,3.0,TREND
2026-01-09 15:00:00,ARCUSDT,15m,aligned,0.0413,0.04232,0.42154150304891475,0.18811091833333346,2.5,TREND
2026-01-10 10:00:00,ARCUSDT,15m,aligned,0.0435,0.04298,-0.7196469315160134,-0.32053610400000065,3.5,TREND
2026-01-10 19:00:00,PUMPFUNUSDT,30m,aligned,0.0024,0.002296,-1.3739197891122714,-0.6139219500000023,2.5,TREND
