direction,entry,tp,sl,rr,regime,adx,atr,plus_di,minus_di,confidence,signal_type,has_fvg,timestamp,ema_position,position_size,risk_amount,symbol,bars_alive,max_r,initial_risk,exit_time,exit_price,pnl,exit_reason
SHORT,478.05,459.2683,485.8757,2.4,TREND,26.1004,6.5214,7.667,36.4184,4,BOS,False,2024-09-06 18:00:00,BELOW,0.06554819667915687,0.5129605227520768,BNBUSDT,5,0.5494716127630781,7.8256999999999834,2024-09-06 23:00:00,485.8757,-0.5129605227520768,stop_loss
LONG,511.2,522.5,506.5543,2.43,RANGE,17.8424,3.8714,15.7749,28.8745,3,SWEEP,False,2024-09-11 04:00:00,,0.07462915029644823,0.3467046435322078,BNBUSDT,1,0.0,4.645699999999977,2024-09-11 05:00:00,506.5543,-0.3467046435322078,stop_loss
LONG,552.9,555.7,551.4938,1.99,RANGE,16.1772,4.0179,18.6667,25.6,4,SWEEP,False,2024-09-15 23:00:00,,0.26904327066007505,0.3783286472022009,BNBUSDT,1,0.0,1.4062000000000126,2024-09-16 00:00:00,551.4938,-0.37832864720220094,stop_loss
LONG,542.15,549.35,538.37,1.9,TREND,25.3601,3.15,11.678,32.4263,4,SWEEP,False,2024-09-18 10:00:00,,0.14240584822268135,0.5382941062817316,BNBUSDT,3,0.0,3.7799999999999727,2024-09-18 13:00:00,538.37,-0.5382941062817316,stop_loss
LONG,574.0,588.3186,568.6,2.6,TREND,26.108,4.5893,28.716,21.0895,4,BOS,True,2024-09-20 04:00:00,ABOVE,0.10390853263975852,0.572234680100418,BNBUSDT,7,0.263296471827284,5.507100000000037,2024-09-20 11:00:00,568.6,-0.5611060762546937,stop_loss
LONG,573.9,584.4,573.9,2.8,TREND,34.9787,3.125,28.2286,10.4,3,BOS,False,2024-09-21 05:00:00,ABOVE,0.15996183443415346,0.5998568791280755,BNBUSDT,3,3.1466666666666847,3.75,2024-09-21 08:00:00,584.4,1.6795992615586113,take_profit
LONG,587.95,602.8836,581.4571,2.3,TREND,30.1327,5.4107,20.33,24.7525,4,SWEEP,False,2024-09-22 22:00:00,,0.08341884997244725,0.5416302509861092,BNBUSDT,18,2.887769717691598,6.492900000000077,2024-09-23 16:00:00,602.8836,1.2457437379485345,take_profit
SHORT,581.6,569.3094,581.6,2.6,TREND,27.8315,3.9393,7.2529,37.4433,4,BOS,True,2024-09-30 01:00:00,BELOW,0.12412891038499037,0.5867697722808818,BNBUSDT,1,1.3750502422204032,4.72709999999995,2024-09-30 02:00:00,581.6,-0.0,stop_loss
SHORT,575.1,559.6586,580.2471,3.0,TREND,32.251,4.2893,6.6611,44.1299,4,BOS,True,2024-09-30 02:00:00,BELOW,0.19460618407554509,1.0016574900552426,BNBUSDT,3,0.0,5.147100000000023,2024-09-30 05:00:00,580.2471,-1.0016574900552426,stop_loss
LONG,565.4,573.896,561.86,2.4,TREND,27.8366,2.95,20.7022,13.1961,4,BOS,False,2024-10-06 01:00:00,ABOVE,0.14427210140403018,0.5107232389702616,BNBUSDT,2,0.0,3.5399999999999636,2024-10-06 03:00:00,561.86,-0.5107232389702616,stop_loss
LONG,569.5,577.25,566.5,2.58,RANGE,14.5574,5.0714,17.6056,26.0563,4,SWEEP,False,2024-10-08 00:00:00,,0.12602265393373055,0.3780679618011916,BNBUSDT,5,0.2000000000000076,3.0,2024-10-08 05:00:00,566.5,-0.3780679618011916,stop_loss
LONG,587.95,602.1829,587.0,3.0,TREND,34.0535,3.9536,34.598,15.8988,4,BOS,True,2024-10-14 15:00:00,ABOVE,0.15918980024448315,0.755244169299912,BNBUSDT,12,0.7588053032059225,4.744300000000067,2024-10-15 03:00:00,587.0,-0.15123031023226624,stop_loss
LONG,598.1,614.93,592.49,3.0,TREND,28.9268,4.675,22.0779,16.8831,4,BOS,True,2024-10-15 13:00:00,ABOVE,0.10235610230842603,0.5742177339502714,BNBUSDT,1,0.0,5.610000000000014,2024-10-15 14:00:00,592.49,-0.5742177339502714,stop_loss
LONG,592.3,605.488,587.59,2.8,TREND,32.089,3.925,27.6615,18.3803,4,BOS,False,2024-10-24 04:00:00,ABOVE,0.18194026099718086,0.8569386292967078,BNBUSDT,5,0.24416135881106366,4.709999999999923,2024-10-24 09:00:00,587.59,-0.8569386292967078,stop_loss
SHORT,583.85,570.278,588.6971,2.8,TREND,29.2116,4.0393,7.4271,24.9337,4,BOS,False,2024-10-25 17:00:00,BELOW,0.10260968783882173,0.49735941792354815,BNBUSDT,1,0.0,4.847099999999955,2024-10-25 18:00:00,588.6971,-0.49735941792354815,stop_loss
