direction,entry,tp,sl,rr,regime,adx,atr,plus_di,minus_di,confidence,signal_type,has_fvg,timestamp,ml_score,smc_ok,volume_spike,funding_rate,orderbook_imbalance,ema_position,position_size,risk_amount,symbol,bars_alive,max_r,initial_risk,exit_time,exit_price,pnl,exit_reason
SHORT,3155.41,3098.7795,3155.41,2.05,TREND,35.5739,29.0786,9.0592,43.6723,4,BOS,False,2025-01-27 04:00:00,0.98,True,True,,,BELOW,0.011999863543345134,0.3314914304394932,ETHUSDT,2,2.6765998421696526,27.6246000000001,2025-01-27 06:00:00,3098.7795,0.6795582723914037,take_profit
SHORT,1.4346,1.378,1.4346,2.05,TREND,37.1583,0.0291,6.4373,54.0786,4,BOS,False,2025-01-27 02:00:00,0.98,True,True,,,BELOW,10.294764920481212,0.28413551180527985,OPUSDT,5,2.2173913043478435,0.027599999999999847,2025-01-27 07:00:00,1.378,0.5826836944992387,take_profit
SHORT,5.201,5.0748,5.201,2.05,TREND,39.4306,0.0648,6.0639,36.7144,4,BOS,False,2025-01-28 20:00:00,0.9,True,True,,,BELOW,4.678275898884752,0.28771396778141484,AXSUSDT,1,1.495934959349574,0.061500000000000554,2025-01-28 21:00:00,5.201,-0.0,stop_loss
SHORT,3093.68,3031.7119,3093.68,2.05,TREND,39.5212,31.8193,9.197,31.1289,4,BOS,False,2025-01-28 20:00:00,0.9,True,True,,,BELOW,0.009518033358852889,0.28771396778141484,ETHUSDT,1,1.3864491221801938,30.228300000000218,2025-01-28 21:00:00,3093.68,-0.0,stop_loss
SHORT,4.353,4.2425,4.353,1.8,TREND,34.372,0.0646,7.4033,37.7901,4,BOS,False,2025-01-28 20:00:00,0.98,True,True,,,BELOW,5.46687778086294,0.33566629574498397,NEARUSDT,1,1.0912052117263888,0.0613999999999999,2025-01-28 21:00:00,4.353,-0.0,stop_loss
SHORT,2.7097,2.5912,2.7097,2.05,TREND,37.5023,0.0608,12.2681,41.7351,4,BOS,False,2025-02-02 16:00:00,0.98,True,True,,,BELOW,4.977750307636947,0.28771396778141484,XRPUSDT,1,2.3615916955017413,0.05779999999999985,2025-02-02 17:00:00,2.5912,0.5898634114549786,take_profit
SHORT,0.6801,0.6626,0.6886,2.05,TREND,36.7772,0.009,15.8313,27.2076,4,BOS,False,2025-02-09 13:00:00,0.98,True,True,,,BELOW,34.045438888575454,0.2893862305528897,ADAUSDT,2,0.0,0.008499999999999952,2025-02-09 15:00:00,0.6886,-0.2893862305528897,stop_loss
SHORT,23.86,23.1522,24.2532,1.8,TREND,34.7372,0.4139,11.4754,36.1519,4,BOS,False,2025-02-09 21:00:00,0.98,True,True,,,BELOW,0.8562058088016721,0.33666012402081763,AVAXUSDT,1,0.0,0.3932000000000002,2025-02-09 22:00:00,24.2532,-0.33666012402081763,stop_loss
SHORT,4.018,3.91,4.078,1.8,TREND,34.4988,0.0631,10.9729,38.5747,4,BOS,False,2025-02-09 21:00:00,0.98,True,True,,,BELOW,5.6110020670135805,0.33666012402081763,AXSUSDT,1,0.0,0.0600000000000005,2025-02-09 22:00:00,4.078,-0.33666012402081763,stop_loss
SHORT,0.2417,0.235,0.245,2.05,TREND,35.3375,0.0034,10.3584,42.0758,4,BOS,False,2025-02-09 21:00:00,0.98,True,True,,,BELOW,102.01821940024784,0.33666012402081763,DOGEUSDT,1,0.0,0.0032999999999999974,2025-02-09 22:00:00,0.245,-0.33666012402081763,stop_loss
