direction,entry,tp,sl,rr,regime,adx,atr,plus_di,minus_di,confidence,bos,fvg,liquidity_sweep,bos_strength,range,volume,fvg_size,signal_type,has_fvg,timestamp,ema_position,position_size,risk_amount,symbol,bars_alive,max_r,initial_risk,exit_time,exit_price,pnl,exit_reason
SHORT,83862.5,,84313.5,,TREND,30.5876,693.5571,15.5328,33.4075,4,BEARISH_BOS,True,,,1277.300000000003,,,BOS,True,2025-03-20 16:30:00,BELOW,2.92240593624059e-05,0.07672776785599669,BTCUSDT,20,0.16671110264711372,2625.5,2025-03-21 12:00:00,84313.5,-0.013180050772445061,stop_loss
LONG,619.3,623.9,618.9,1.94,RANGE,17.2297,2.7571,16.8394,25.9067,4,,False,SWEEP_LOW,,3.7999999999999545,,,SWEEP,False,2025-03-24 02:30:00,,0.5077892150742442,0.3068724870251295,BNBUSDT,1,8.750000000000497,0.39999999999997726,2025-03-24 03:00:00,623.9,2.335830389341535,take_profit
LONG,14.276,14.468,14.238,1.53,RANGE,17.0872,0.1702,14.6454,20.8141,4,,False,SWEEP_LOW,,0.20700000000000074,,,SWEEP,False,2025-03-24 02:30:00,,3.5979583982692045,0.1367224191342307,LINKUSDT,1,9.999999999999954,0.038000000000000256,2025-03-24 03:00:00,14.468,0.6908080124676879,take_profit
SHORT,2.2584,,2.135,,TREND,36.8545,0.0257,9.2372,37.9473,4,BEARISH_BOS,True,,,0.03160000000000007,,,BOS,True,2025-03-28 05:30:00,BELOW,2.9959309329161554,0.3013906518513653,XRPUSDT,42,1.8568588469184872,0.10060000000000002,2025-03-29 23:00:00,2.135,0.3696978771218541,stop_loss
SHORT,593.6,,606.4,,TREND,39.9487,5.3286,9.6515,35.9249,4,BEARISH_BOS,True,,,6.399999999999977,,,BOS,True,2025-03-31 08:30:00,BELOW,0.023626857314812955,0.30242377362960476,BNBUSDT,6,0.406250000000005,12.799999999999955,2025-03-31 14:00:00,606.4,-0.30242377362960476,stop_loss
SHORT,13.903,,13.692,,TREND,35.5214,0.1744,15.6429,33.7428,4,BEARISH_BOS,True,,,0.1919999999999984,,,BOS,True,2025-04-02 00:30:00,ABOVE,0.7535028798237231,0.2712610367365399,LINKUSDT,13,1.438888888888893,0.35999999999999943,2025-04-02 13:00:00,13.692,0.1589891076428058,stop_loss
SHORT,2.0538,,1.814,,TREND,32.8555,0.0178,5.502,43.8554,3,BEARISH_BOS,True,,,0.026799999999999713,,,BOS,True,2025-04-06 13:30:00,BELOW,2.445924375958826,0.20374550051737114,XRPUSDT,24,4.794717887154838,0.08330000000000037,2025-04-07 13:00:00,1.814,0.586532665354926,stop_loss
SHORT,3.7996,,3.4782,,TREND,34.0044,0.0406,6.7406,37.0292,4,BEARISH_BOS,True,,,0.08030000000000026,,,BOS,True,2025-04-06 17:30:00,BELOW,0.4271394140825384,0.06791516683912371,DOTUSDT,20,3.1125786163521956,0.15900000000000025,2025-04-07 13:00:00,3.4782,0.1372826076861277,stop_loss
SHORT,81085.6,,79315.8,,TREND,37.0031,457.4071,4.7348,49.0279,4,BEARISH_BOS,True,,,1440.3999999999942,,,BOS,True,2025-04-06 17:30:00,BELOW,2.8129210917463502e-05,0.06791516683912371,BTCUSDT,21,2.6116633532140576,2414.399999999994,2025-04-07 14:00:00,79315.8,0.04978307748172699,stop_loss
SHORT,11.906,,11.511,,TREND,36.6823,0.1659,3.7468,48.3635,4,BEARISH_BOS,True,,,0.2969999999999988,,,BOS,True,2025-04-06 17:30:00,BELOW,0.3408540368337456,0.27166066735649486,LINKUSDT,21,2.1455457967377707,0.7969999999999988,2025-04-07 14:00:00,11.511,0.13463734454932996,stop_loss
SHORT,11.136,,11.481,,TREND,31.2723,0.2229,13.1689,29.3816,3,BEARISH_BOS,True,,,0.4060000000000006,,,BOS,True,2025-04-08 16:30:00,BELOW,0.2754402062968166,0.20658015472261246,LINKUSDT,22,0.5999999999999991,0.75,2025-04-09 14:00:00,11.481,-0.0950268711724019,stop_loss
SHORT,16.739,,16.855,,TREND,31.8052,0.3281,16.1768,24.6462,4,BEARISH_BOS,True,SWEEP_LOW,,0.5960000000000001,,,BOS,True,2025-04-08 16:30:00,BELOW,0.2178007200996801,0.21366250641778575,AVAXUSDT,23,0.7278287461773737,0.9809999999999981,2025-04-09 15:00:00,16.855,-0.025264883531562816,stop_loss
LONG,3.6502,,3.6776,,TREND,30.1916,0.0289,36.5884,7.8863,3,BULLISH_BOS,True,,,0.058099999999999596,,,BOS,True,2025-04-12 13:30:00,ABOVE,0.8360759174365444,0.07290582000046644,DOTUSDT,12,0.8761467889908288,0.08719999999999972,2025-04-13 01:00:00,3.6776,0.022908480137761394,stop_loss
LONG,1624.15,,1627.68,,TREND,36.9054,15.9893,44.369,7.2281,3,BULLISH_BOS,True,,,41.180000000000064,,,BOS,True,2025-04-12 13:30:00,ABOVE,0.0006345297028994135,0.05052760024188036,ETHUSDT,12,0.3925656159738785,79.63000000000011,2025-04-13 01:00:00,1627.68,0.002239889851234912,stop_loss
SHORT,585.1,,587.6,,TREND,31.9317,3.4214,7.5157,22.1294,4,BEARISH_BOS,True,,,3.6000000000000227,,,BOS,True,2025-04-14 16:30:00,BELOW,0.03500555658886743,0.2695427857342768,BNBUSDT,11,0.14285714285714707,7.699999999999932,2025-04-15 03:00:00,587.6,-0.08751389147216856,stop_loss
LONG,590.6,,588.3,,TREND,30.7113,2.5357,34.9296,8.4507,4,BULLISH_BOS,True,,,3.0,,,BOS,True,2025-04-17 16:30:00,ABOVE,0.03847516541406804,0.2693261578984763,BNBUSDT,8,0.1571428571428604,7.0,2025-04-18 00:00:00,588.3,-0.08849288045235912,stop_loss
LONG,594.2,,591.5,,TREND,32.0838,1.95,28.5714,7.6923,3,BULLISH_BOS,True,,,1.6000000000000227,,,BOS,True,2025-04-18 16:30:00,ABOVE,0.026556622373553187,0.20183033003900483,BNBUSDT,7,0.13157894736842066,7.600000000000023,2025-04-18 23:00:00,591.5,-0.07170288040859481,stop_loss
LONG,2.578,,2.613,,TREND,30.537,0.0231,40.7407,11.1111,4,BULLISH_BOS,True,,,0.040999999999999925,,,BOS,True,2025-04-19 19:30:00,ABOVE,0.5897579314204915,0.06723240418193596,FILUSDT,13,0.5964912280701766,0.11399999999999988,2025-04-20 08:00:00,2.613,0.020641527599717286,stop_loss
LONG,3.8372,,3.8648,,TREND,32.7598,0.0239,41.923,7.0469,4,BULLISH_BOS,True,,,0.055199999999999694,,,BOS,True,2025-04-19 21:30:00,ABOVE,0.8353365166086844,0.10316405980117284,DOTUSDT,11,0.8080971659918976,0.12350000000000039,2025-04-20 08:00:00,3.8648,0.023055287858399373,stop_loss
SHORT,84195.1,,84627.6,,TREND,38.326,221.85,7.2378,45.2944,4,BEARISH_BOS,True,,,563.8999999999942,,,BOS,True,2025-04-20 10:30:00,BELOW,6.115000951610729e-05,0.06695314541918551,BTCUSDT,10,0.10503242305233411,1094.8999999999942,2025-04-20 20:00:00,84627.6,-0.026447379115716402,stop_loss
LONG,13.536,,13.453,,TREND,32.194,0.1536,41.7945,7.9498,4,BULLISH_BOS,True,,,0.18099999999999916,,,BOS,True,2025-04-21 01:30:00,ABOVE,0.9015064417314822,0.26774741319424916,LINKUSDT,10,0.34006734006734435,0.2969999999999988,2025-04-21 11:00:00,13.453,-0.0748250346637132,stop_loss
LONG,596.3,,600.0,,TREND,31.2665,2.3571,31.8182,10.6061,4,BULLISH_BOS,True,,,6.100000000000023,,,BOS,True,2025-04-21 00:30:00,ABOVE,0.03667772783482888,0.26774741319424916,BNBUSDT,14,1.3287671232876856,7.2999999999999545,2025-04-21 14:00:00,600.0,0.13570759298886853,stop_loss
LONG,3.86,,4.0502,,TREND,39.9193,0.0487,27.1567,15.0528,4,BULLISH_BOS,True,,,0.07090000000000041,,,BOS,True,2025-04-22 14:30:00,ABOVE,0.6300737131417978,0.10938079660141609,DOTUSDT,25,1.7453917050691268,0.17359999999999998,2025-04-23 15:00:00,4.0502,0.11984002023957017,stop_loss
LONG,13.72,,14.728,,TREND,32.1569,0.1731,37.7475,6.0231,4,BULLISH_BOS,True,,,0.266,,,BOS,True,2025-04-22 14:30:00,ABOVE,0.5544183141721243,0.2666752091167917,LINKUSDT,36,3.012474012474013,0.48099999999999987,2025-04-24 02:00:00,14.728,0.5588536606855008,stop_loss
LONG,604.0,,601.9,,TREND,35.3367,3.25,22.1978,14.2857,4,BULLISH_BOS,True,,,2.2000000000000455,,,BOS,True,2025-04-25 05:30:00,ABOVE,0.036758895275622,0.2683399355120389,BNBUSDT,16,0.7534246575342513,7.2999999999999545,2025-04-25 21:00:00,601.9,-0.07719368007880703,stop_loss
LONG,4.1653,4.3592,4.089,2.24,RANGE,22.8934,0.0417,12.6756,27.3553,4,BEARISH_BOS,False,SWEEP_LOW,,0.035199999999999676,,,SWEEP,False,2025-04-27 02:30:00,,1.8506471185630438,0.1412043751463599,DOTUSDT,10,0.14285714285713622,0.07629999999999981,2025-04-27 12:00:00,4.089,-0.1412043751463599,stop_loss
LONG,93917.8,94363.4,93839.8,2.14,RANGE,19.2906,390.1,8.2671,27.46,4,,False,SWEEP_LOW,,488.70000000001164,,,SWEEP,False,2025-04-27 13:30:00,,0.0008384632119491045,0.06540013053203016,BTCUSDT,2,0.2730769230769604,78.0,2025-04-27 15:00:00,93839.8,-0.06540013053203016,stop_loss
LONG,2.77,,2.747,,TREND,31.4723,0.0332,24.5161,15.0538,4,BULLISH_BOS,True,,,0.022999999999999687,,,BOS,True,2025-04-28 07:30:00,ABOVE,0.510632465209542,0.06536095554682143,FILUSDT,6,0.14062499999999828,0.1280000000000001,2025-04-28 13:00:00,2.747,-0.011744546699819532,stop_loss
